Date;AirLiquide;Microsoft;Apple;Sanofi;LVMH;SP500;CAC40
02/01/2015;67.46;46.76;27.33;75.05;130.85;2058.2;4252.29
05/01/2015;65.37;46.33;26.56;72.89;127.05;2020.6;4111.36
06/01/2015;64.82;45.65;26.57;73.13;125.6;2002.6;4083.5
07/01/2015;65.12;46.23;26.94;73.9;125.7;2025.9;4112.73
08/01/2015;67.86;47.59;27.97;77.02;129.65;2062.1;4260.19
09/01/2015;66.33;47.19;28;74.49;127.7;2044.8;4179.07
12/01/2015;67.49;46.6;27.31;75.53;131.95;2028.3;4228.24
13/01/2015;68.16;46.35;27.56;76.43;132.95;2023;4290.28
14/01/2015;67.26;45.95;27.45;75.33;132.7;2011.3;4223.24
15/01/2015;68.72;45.48;26.7;77.43;135.05;1992.7;4323.2
16/01/2015;69.29;46.24;26.5;79.51;134.2;2019.4;4379.62
19/01/2015;69.79;;;79.3;134.2;;4394.93
20/01/2015;70.52;46.39;27.18;79.95;136.5;2022.5;4446.02
21/01/2015;70.68;45.92;27.39;80.19;137.4;2032.1;4484.82
22/01/2015;71.92;47.13;28.1;80.75;137.85;2063.2;4552.8
23/01/2015;73.08;47.18;28.25;83.14;141.85;2051.8;4640.69
26/01/2015;74.41;47.01;28.27;82.52;144.65;2057.1;4675.13
27/01/2015;73.84;42.66;27.28;81.45;145.1;2029.5;4624.21
28/01/2015;73.55;41.19;28.83;81.56;145.2;2002.2;4610.94
29/01/2015;74.68;42.01;29.73;81.83;144.7;2021.2;4631.43
30/01/2015;74.51;40.4;29.29;81.57;143.5;1995;4604.25
02/02/2015;75.24;41.28;29.66;81.64;143.3;2020.8;4627.67
03/02/2015;75.24;41.6;29.66;81.08;144.5;2050;4677.9
04/02/2015;75.77;41.84;29.89;81.16;156.25;2041.5;4696.3
05/02/2015;75.81;42.45;29.99;84.09;153.5;2062.5;4703.3
06/02/2015;74.64;42.41;29.73;84.56;152.8;2055.5;4691.03
09/02/2015;74.68;42.36;29.93;84.38;150.6;2046.7;4651.08
10/02/2015;75.57;42.6;30.5;84.83;156.15;2068.6;4695.65
11/02/2015;75.51;42.38;31.22;84.56;156.55;2068.5;4679.38
12/02/2015;77.04;43.09;31.61;84.48;159.15;2088.5;4726.2
13/02/2015;77.14;43.87;31.77;86.28;158.5;2097;4759.36
16/02/2015;76.47;;;85.27;156.95;;4751.95
17/02/2015;75.91;43.58;31.96;85.08;157.6;2100.3;4753.99
18/02/2015;76.44;43.53;32.18;86.26;158.75;2099.7;4799.03
19/02/2015;76.84;43.5;32.11;87.38;160.8;2097.4;4833.28
20/02/2015;77.07;43.85;32.37;86.93;161;2110.3;4830.9
23/02/2015;77.1;44.15;33.25;88.59;161.25;2109.7;4862.3
24/02/2015;77.54;44.09;33.04;88.29;161.2;2115.5;4886.44
25/02/2015;77.67;43.99;32.2;88.64;161.6;2113.9;4882.22
26/02/2015;78.2;44.05;32.6;87.08;161.95;2110.7;4910.62
27/02/2015;78.57;43.85;32.12;87.24;163.9;2104.5;4951.48
02/03/2015;78.33;43.88;32.27;85.95;164.75;2117.4;4917.32
03/03/2015;77.64;43.28;32.34;85.71;162.4;2107.8;4869.25
04/03/2015;78.4;43.05;32.13;86.99;165.1;2098.5;4917.35
05/03/2015;79.07;43.11;31.6;87.38;167.7;2101;4963.51
06/03/2015;78.9;42.36;31.65;87.19;168.9;2071.3;4964.35
09/03/2015;79;42.85;31.78;87.14;167.8;2079.4;4937.2
10/03/2015;78.2;42.03;31.13;85.93;166.25;2044.2;4881.95
11/03/2015;80.56;41.98;30.56;88.8;171.5;2040.2;4997.75
12/03/2015;80.3;41.02;31.11;89.03;170.6;2065.9;4987.33
13/03/2015;80.26;41.38;30.9;89.36;171.25;2053.4;5010.46
16/03/2015;81.43;41.56;31.24;91.59;174.7;2081.2;5061.16
17/03/2015;81.36;41.7;31.76;91.76;172.7;2074.3;5028.93
18/03/2015;81.4;42.5;32.12;92.57;170.75;2099.5;5033.42
19/03/2015;80.83;42.28;31.87;92.5;168.3;2089.3;5037.18
20/03/2015;81.03;42.88;31.48;93.14;169.25;2108.1;5087.49
23/03/2015;80.36;42.85;31.8;93.01;164.5;2104.4;5054.52
24/03/2015;81.03;42.9;31.67;93.55;166.45;2091.5;5088.28
25/03/2015;80.1;41.46;30.84;91.66;163.6;2061.1;5020.99
26/03/2015;79.67;41.21;31.06;90.9;162.35;2056.2;5006.35
27/03/2015;79.93;40.97;30.81;91.21;162.25;2061;5034.06
30/03/2015;80.76;40.96;31.59;92.22;164.5;2086.2;5083.52
31/03/2015;79.7;40.66;31.11;91.45;164.15;2067.9;5033.64
